station,date,tavg,preciptotal,sealevel,resultspeed,resultdir,humidity,trange
1,2007-05-01,67.0,0.0,29.82,1.7,27,56.41023806472434,33
2,2007-05-01,68.0,0.0,29.82,2.7,25,54.497276281177406,32
1,2007-05-02,51.0,0.0,30.09,13.0,4,71.17693908994062,17
2,2007-05-02,52.0,0.0,30.08,13.3,2,68.594699094363,17
1,2007-05-03,56.0,0.0,30.12,11.7,7,54.84885958603458,20
2,2007-05-03,58.0,0.0,30.12,12.9,6,51.03023255339122,19
1,2007-05-04,58.0,0.05,30.05,10.4,8,53.04888415568561,17
2,2007-05-04,64.5,0.0,30.04,10.1,7,43.79590911234035,27
1,2007-05-05,60.0,0.05,30.1,11.7,7,43.93710014574971,13
2,2007-05-05,60.0,0.05,30.09,11.2,7,45.691135780344744,12
1,2007-05-06,59.0,0.0,30.29,14.4,11,33.07680833547082,19
2,2007-05-06,60.0,0.0,30.28,13.8,10,31.91694960547223,16
1,2007-05-07,65.0,0.05,30.12,8.6,18,41.407662853927874,36
2,2007-05-07,67.0,0.0,30.12,8.5,17,35.73967643765382,34
1,2007-05-08,68.0,0.0,30.03,2.7,11,70.3500341906023,28
2,2007-05-08,70.0,0.05,30.02,2.5,8,63.365166672408776,20
1,2007-05-09,69.0,0.13,29.94,3.9,9,70.4552272678883,16
2,2007-05-09,70.0,0.02,29.93,3.9,7,70.55990715762363,13
1,2007-05-10,70.0,0.0,29.92,0.7,17,52.80147113979146,28
2,2007-05-10,71.0,0.0,29.91,2.0,9,51.032969620861465,24
1,2007-05-11,61.0,0.0,30.04,11.3,3,49.5384834011483,19
2,2007-05-11,61.0,0.0,30.03,11.7,36,53.489222585624475,24
1,2007-05-12,55.0,0.0,30.2,12.4,3,48.61640558435118,18
2,2007-05-12,56.0,0.0,30.19,12.7,1,48.77141942984007,18
1,2007-05-13,56.0,0.0,30.24,6.6,14,41.598614305277,26
2,2007-05-13,57.0,0.0,30.24,6.4,11,38.53952444668275,25
1,2007-05-14,73.0,0.0,29.97,16.9,21,39.58164504515501,34
2,2007-05-14,72.0,0.0,29.98,14.1,21,37.95619680259921,36
1,2007-05-15,69.0,0.38,29.84,8.1,27,63.24179235088773,23
2,2007-05-15,69.0,0.6,29.83,8.1,25,63.24179235088773,26
1,2007-05-16,55.0,0.14,30.03,7.8,36,63.864667476624994,22
2,2007-05-16,55.0,0.07,30.03,8.0,36,61.455645098499886,19
1,2007-05-17,53.0,0.0,30.27,10.5,3,44.57917647566113,19
2,2007-05-17,53.0,0.0,30.27,11.7,1,44.57917647566113,17
1,2007-05-18,57.0,0.0,30.25,5.4,25,35.540930753951436,29
