station,date,tavg,preciptotal,stnpressure,avgspeed,raining,misty,humidity,trange,tavg_5ma,trange_5ma,stnpressure_5ma,avgspeed_5ma,humidity_5ma,preciptotal_5ma,tavg_10ma,trange_10ma,stnpressure_10ma,avgspeed_10ma,humidity_10ma,preciptotal_10ma,preciptotal_5sum,raining_5sum,misty_5sum,preciptotal_10sum,raining_10sum,misty_10sum
1,2007-05-01,67.0,0.0,29.1,9.2,0,0,56.41023806472434,33,,,,,,,,,,,,,,,,,,
2,2007-05-01,68.0,0.0,29.18,9.6,0,0,54.497276281177406,32,,,,,,,,,,,,,,,,,,
1,2007-05-02,51.0,0.0,29.38,13.4,0,1,71.17693908994062,17,,,,,,,,,,,,,,,,,,
2,2007-05-02,52.0,0.0,29.44,13.4,0,1,68.594699094363,17,,,,,,,,,,,,,,,,,,
1,2007-05-03,56.0,0.0,29.39,11.9,0,0,54.84885958603458,20,,,,,,,,,,,,,,,,,,
2,2007-05-03,58.0,0.0,29.46,13.2,0,1,51.03023255339122,19,,,,,,,,,,,,,,,,,,
1,2007-05-04,58.0,0.0,29.31,10.8,1,0,53.04888415568561,17,,,,,,,,,,,,,,,,,,
2,2007-05-04,64.5,0.0,29.36,10.4,0,0,43.79590911234035,27,,,,,,,,,,,,,,,,,,
1,2007-05-05,60.0,0.0,29.4,12.0,0,0,43.93710014574971,13,58.4,20.0,29.315999999999995,11.459999999999999,55.88440420842697,0.0,,,,,,,0.0,1.0,1.0,,,
2,2007-05-05,60.0,0.0,29.46,11.5,0,0,45.691135780344744,12,60.5,21.4,29.380000000000003,11.620000000000001,52.72185056432335,0.0,,,,,,,0.0,0.0,2.0,,,
1,2007-05-06,59.0,0.0,29.57,15.0,0,0,33.07680833547082,19,56.8,17.2,29.410000000000004,12.62,51.21771826257626,0.0,,,,,,,0.0,1.0,1.0,,,
2,2007-05-06,60.0,0.0,29.62,14.5,0,0,31.91694960547223,16,58.9,18.2,29.468,12.6,48.20578522918231,0.0,,,,,,,0.0,0.0,2.0,,,
1,2007-05-07,65.0,0.0,29.38,10.5,1,0,41.407662853927874,36,59.6,21.0,29.409999999999997,12.040000000000001,45.263863015373715,0.0,,,,,,,0.0,2.0,0.0,,,
2,2007-05-07,67.0,0.0,29.44,9.9,0,0,35.73967643765382,34,61.9,21.6,29.468,11.9,41.63478069784047,0.0,,,,,,,0.0,0.0,1.0,,,
1,2007-05-08,68.0,0.0,29.29,5.8,0,1,70.3500341906023,28,62.0,22.6,29.389999999999997,10.82,48.364097936287266,0.0,,,,,,,0.0,2.0,1.0,,,
2,2007-05-08,70.0,0.0,29.36,5.4,0,1,63.365166672408776,20,64.3,21.8,29.448,10.34,44.10176752164398,0.0,,,,,,,0.0,0.0,1.0,,,
1,2007-05-09,69.0,0.13,29.21,6.2,0,1,70.4552272678883,16,64.2,22.4,29.369999999999997,9.9,51.845366558727804,0.026000000000000002,,,,,,,0.13,1.0,2.0,,,
2,2007-05-09,70.0,0.02,29.28,5.9,0,1,70.55990715762363,13,65.4,19.0,29.432,9.440000000000001,49.45456713070064,0.004,,,,,,,0.02,0.0,2.0,,,
1,2007-05-10,70.0,0.0,29.2,4.1,0,1,52.80147113979146,28,66.2,25.4,29.330000000000002,8.319999999999999,53.61824075753616,0.026000000000000002,62.3,22.7,29.323,9.89,54.751322482981564,0.013000000000000001,0.13,1.0,3.0,0.13,2.0,4.0
2,2007-05-10,71.0,0.0,29.26,3.9,0,1,51.032969620861465,24,67.6,21.4,29.392000000000003,7.92,50.522933898803984,0.004,64.05,21.4,29.386000000000003,9.77,51.622392231563666,0.002,0.02,0.0,3.0,0.02,0.0,5.0
1,2007-05-11,61.0,0.0,29.33,12.9,0,0,49.5384834011483,19,66.6,25.4,29.282,7.9,56.910575770671656,0.026000000000000002,61.7,21.3,29.345999999999997,10.26,54.06414701662395,0.013000000000000001,0.13,1.0,3.0,0.13,2.0,4.0
