station,date,tmax,tmin,tavg,dewpoint,preciptotal,stnpressure,sealevel,avgspeed,raining,misty,humidity,trange
1,2007-05-01,83,50,67.0,51,0.0,29.1,29.82,9.2,0,0,56.41023806472434,33
2,2007-05-01,84,52,68.0,51,0.0,29.18,29.82,9.6,0,0,54.497276281177406,32
1,2007-05-02,59,42,51.0,42,0.0,29.38,30.09,13.4,0,1,71.17693908994062,17
2,2007-05-02,60,43,52.0,42,0.0,29.44,30.08,13.4,0,1,68.594699094363,17
1,2007-05-03,66,46,56.0,40,0.0,29.39,30.12,11.9,0,0,54.84885958603458,20
2,2007-05-03,67,48,58.0,40,0.0,29.46,30.12,13.2,0,1,51.03023255339122,19
1,2007-05-04,66,49,58.0,41,0.0,29.31,30.05,10.8,1,0,53.04888415568561,17
2,2007-05-04,78,51,64.5,42,0.0,29.36,30.04,10.4,0,0,43.79590911234035,27
1,2007-05-05,66,53,60.0,38,0.0,29.4,30.1,12.0,0,0,43.93710014574971,13
2,2007-05-05,66,54,60.0,39,0.0,29.46,30.09,11.5,0,0,45.691135780344744,12
1,2007-05-06,68,49,59.0,30,0.0,29.57,30.29,15.0,0,0,33.07680833547082,19
2,2007-05-06,68,52,60.0,30,0.0,29.62,30.28,14.5,0,0,31.91694960547223,16
1,2007-05-07,83,47,65.0,41,0.0,29.38,30.12,10.5,1,0,41.407662853927874,36
2,2007-05-07,84,50,67.0,39,0.0,29.44,30.12,9.9,0,0,35.73967643765382,34
1,2007-05-08,82,54,68.0,58,0.0,29.29,30.03,5.8,0,1,70.3500341906023,28
2,2007-05-08,80,60,70.0,57,0.0,29.36,30.02,5.4,0,1,63.365166672408776,20
1,2007-05-09,77,61,69.0,59,0.13,29.21,29.94,6.2,0,1,70.4552272678883,16
2,2007-05-09,76,63,70.0,60,0.02,29.28,29.93,5.9,0,1,70.55990715762363,13
1,2007-05-10,84,56,70.0,52,0.0,29.2,29.92,4.1,0,1,52.80147113979146,28
2,2007-05-10,83,59,71.0,52,0.0,29.26,29.91,3.9,0,1,51.032969620861465,24
1,2007-05-11,70,51,61.0,42,0.0,29.33,30.04,12.9,0,0,49.5384834011483,19
2,2007-05-11,73,49,61.0,44,0.0,29.39,30.03,12.8,0,0,53.489222585624475,24
1,2007-05-12,64,46,55.0,36,0.0,29.49,30.2,12.9,0,0,48.61640558435118,18
2,2007-05-12,65,47,56.0,37,0.0,29.54,30.19,13.0,0,0,48.77141942984007,18
1,2007-05-13,69,43,56.0,33,0.0,29.49,30.24,8.1,0,0,41.598614305277,26
2,2007-05-13,69,44,57.0,32,0.0,29.55,30.24,7.6,0,0,38.53952444668275,25
1,2007-05-14,90,56,73.0,47,0.0,29.23,29.97,17.3,0,0,39.58164504515501,34
2,2007-05-14,90,54,72.0,45,0.0,29.31,29.98,14.6,0,0,37.95619680259921,36
1,2007-05-15,80,57,69.0,56,0.38,29.13,29.84,12.3,1,1,63.24179235088773,23
2,2007-05-15,82,56,69.0,56,0.6,29.19,29.83,10.8,1,1,63.24179235088773,26
1,2007-05-16,66,44,55.0,43,0.14,29.33,30.03,12.2,1,1,63.864667476624994,22
2,2007-05-16,64,45,55.0,42,0.07,29.39,30.03,11.8,1,1,61.455645098499886,19
1,2007-05-17,62,43,53.0,32,0.0,29.55,30.27,11.3,0,0,44.57917647566113,19
2,2007-05-17,61,44,53.0,32,0.0,29.62,30.27,12.2,0,0,44.57917647566113,17
1,2007-05-18,71,42,57.0,30,0.0,29.53,30.25,7.5,0,0,35.540930753951436,29
2,2007-05-18,70,43,57.0,31,0.0,29.6,30.26,5.5,0,0,37.01329899925189,27
1,2007-05-19,80,56,68.0,39,0.0,29.34,30.08,11.4,0,0,34.52768660164003,24
2,2007-05-19,80,56,68.0,37,0.0,29.41,30.08,11.4,0,0,31.921967677082066,24
1,2007-05-20,69,43,56.0,40,0.07,29.38,30.11,10.7,1,0,54.84885958603458,26
2,2007-05-20,69,44,57.0,41,0.11,29.44,30.11,9.7,1,0,54.9936389390944,25
1,2007-05-21,80,44,62.0,50,0.0,29.33,30.06,8.2,0,0,64.73130403319603,36
2,2007-05-21,79,46,63.0,50,0.0,29.39,30.05,7.8,0,0,62.489911541258955,33
1,2007-05-22,87,55,71.0,46,0.0,29.34,30.06,10.2,0,0,40.78437873189862,32
2,2007-05-22,87,60,74.0,44,0.0,29.41,30.05,10.6,0,0,34.154590084423795,27
1,2007-05-23,89,60,75.0,49,0.0,29.39,30.1,11.8,0,0,39.89579869755478,29
2,2007-05-23,89,66,78.0,48,0.0,29.47,30.1,11.2,0,0,34.78375150043124,23
1,2007-05-24,88,63,76.0,54,0.02,29.41,30.11,17.3,1,1,46.4176905261899,25
2,2007-05-24,88,66,77.0,53,0.0,29.47,30.1,15.2,1,1,43.285691086399886,22
1,2007-05-25,70,56,63.0,44,0.0,29.51,30.24,8.8,0,0,49.84159040609186,14
2,2007-05-25,66,57,62.0,46,0.09,29.57,30.23,8.2,1,1,55.7089809078481,9
1,2007-05-26,65,49,57.0,55,1.01,29.36,30.11,7.2,1,1,93.00883719986737,16
2,2007-05-26,70,50,60.0,55,0.28,29.42,30.1,7.8,1,1,83.52505989004503,20
1,2007-05-27,75,57,66.0,47,0.04,29.34,30.06,9.5,1,1,50.29229115862627,18
2,2007-05-27,75,59,67.0,49,0.08,29.41,30.05,9.2,1,1,52.36594383575726,16
1,2007-05-28,79,50,65.0,47,0.0,29.43,30.15,5.3,1,0,52.07291087810838,29
2,2007-05-28,76,54,65.0,49,0.0,29.49,30.14,5.2,0,0,56.13141013840536,22
1,2007-05-29,88,60,74.0,58,0.0,29.39,30.11,6.5,0,1,57.36879214984288,28
2,2007-05-29,88,65,77.0,59,0.0,29.44,30.09,7.4,0,1,53.79912917163951,23
1,2007-05-30,87,66,77.0,58,0.0,29.31,30.04,10.6,0,1,51.904648026246356,21
2,2007-05-30,89,70,80.0,57,0.0,29.38,30.03,10.1,0,1,45.35622683576624,19
1,2007-05-31,78,65,72.0,61,0.01,29.28,30.0,9.9,1,1,68.30702534158651,13
2,2007-05-31,80,68,74.0,61,0.53,29.34,29.99,9.2,1,1,63.85321833711421,12
1,2007-06-01,85,62,74.0,63,0.19,29.19,29.91,6.4,0,1,68.52628458711716,23
2,2007-06-01,86,67,77.0,63,0.21,29.25,29.9,5.8,0,1,61.99943468829765,19
1,2007-06-02,81,65,73.0,63,0.04,29.03,29.77,7.4,1,1,70.87089690607739,16
2,2007-06-02,81,68,75.0,62,0.0,29.1,29.76,8.2,1,1,63.97388267125127,13
1,2007-06-03,78,62,70.0,60,0.01,28.82,29.56,6.7,1,1,70.55990715762363,16
2,2007-06-03,77,64,71.0,60,0.32,28.87,29.54,7.2,1,1,68.19661499378506,13
