addressnumberandstreet,wnvpresent,risk_bucket
"1000  E 67TH ST, Chicago, IL",3.125,low
"1000  N CENTRAL PARK DR, Chicago, IL",6.349206349206349,medium
"1000  S CALIFORNIA AVE, Chicago, IL",0.0,very low
"1000  S COTTAGE GROVE, Chicago, IL",1.7857142857142856,very low
"1000  S STONY ISLAND AVE, Chicago, IL",5.095541401273886,medium
"1000  S VINCENNES, Chicago, IL",4.395604395604396,low
"1000  W 95TH ST, Chicago, IL",3.0303030303030303,low
"1000  W OHARE AIRPORT, Chicago, IL",8.799999999999999,medium
"1000  W OHARE, Chicago, IL",7.142857142857142,medium
"1100  S ARTESIAN AVE, Chicago, IL",4.395604395604396,low
"1100  S ASHLAND AVE, Chicago, IL",4.635761589403973,low
"1100  S AVENUE L, Chicago, IL",7.228915662650602,medium
"1100  S CALIFORNIA, Chicago, IL",2.631578947368421,low
"1100  S PEORIA ST, Chicago, IL",3.125,low
"1100  S STATE ST, Chicago, IL",0.0,very low
"1100  S WALLACE ST, Chicago, IL",0.0,very low
"1100  W CHICAGO, Chicago, IL",1.1764705882352942,very low
"1100  W ROOSEVELT, Chicago, IL",2.73972602739726,low
"1200  S DOTY AVE, Chicago, IL",7.564575645756458,medium
"1200  W GREENLEAF AVE, Chicago, IL",0.0,very low
"1300  N LARAMIE AVE, Chicago, IL",10.76923076923077,high
"1300  S BRANDON, Chicago, IL",2.307692307692308,very low
"1300  S MACKINAW, Chicago, IL",0.0,very low
"1300  S TORRENCE AVE, Chicago, IL",0.7751937984496124,very low
"1400  N HUMBOLDT DR, Chicago, IL",5.154639175257731,medium
"1500  N LONG AVE, Chicago, IL",0.0,very low
"1500  W GRANVILLE AVE, Chicago, IL",0.0,very low
"1500  W WEBSTER AVE, Chicago, IL",8.571428571428571,medium
"1700  N ASHLAND AVE, Chicago, IL",4.0,low
"1700  N PULASKI RD, Chicago, IL",5.0,medium
"1700  W 95TH ST, Chicago, IL",3.3057851239669422,low
"1700  W ADDISON ST, Chicago, IL",1.8518518518518516,very low
"1800  W FARWELL AVE, Chicago, IL",0.0,very low
"1800  W LELAND AVE, Chicago, IL",0.0,very low
"2000  E 111TH ST, Chicago, IL",4.0,low
"2100  N CANNON DR, Chicago, IL",11.11111111111111,high
"2100  N LAWLER AVE, Chicago, IL",9.523809523809524,medium
"2100  N STAVE ST, Chicago, IL",0.0,very low
"2100  S HAMLIN AVE, Chicago, IL",0.0,very low
"2200  N CANNON DR, Chicago, IL",3.6809815950920246,low
"2200  W 113TH ST, Chicago, IL",9.30232558139535,medium
"2200  W 51ST ST, Chicago, IL",7.766990291262135,medium
"2200  W 69TH ST, Chicago, IL",1.2048192771084338,very low
"2200  W 89TH ST, Chicago, IL",12.0,high
"2200  W PERSHING RD, Chicago, IL",0.0,very low
"2400  E 105TH ST, Chicago, IL",6.875000000000001,medium
